push_horizontal    | 3758-WbNq5Xu.gif         | lever standing chest press | leverage machine | score 186
push_horizontal    | 1301-wDN97Ca.gif         | machine inner chest press | leverage machine | score 186
push_horizontal    | 0577-T0yTjgW.gif         | lever chest press | leverage machine | score 186
push_horizontal    | 1308-zoOvPcx.gif         | smith wide grip bench press | smith machine | score 170
push_horizontal    | 0748-trqKQv2.gif         | smith bench press | smith machine | score 170
push_horizontal    | 2144-nIR4Rwl.gif         | cable seated chest press | cable | score 158
push_horizontal    | 1624-UIbGx6H.gif         | dumbbell reverse bench press | dumbbell | score 154
push_horizontal    | 0289-SpYC0Kp.gif         | dumbbell bench press | dumbbell | score 154
push_horizontal    | 0122-JsKq9so.gif         | barbell wide bench press | barbell | score 147
push_horizontal    | 0025-EIeI8Vf.gif         | barbell bench press | barbell | score 147
push_incline       | 1299-jHAnWmT.gif         | lever incline chest press | leverage machine | score 186
push_incline       | 0757-5v7KYld.gif         | smith incline bench press | smith machine | score 170
push_incline       | 1283-bfiHMpI.gif         | dumbbell incline press on exercise ball | dumbbell | score 154
push_incline       | 0324-OVLmUuL.gif         | dumbbell incline palm-in press | dumbbell | score 154
push_incline       | 0321-PG1kcIb.gif         | dumbbell incline hammer press | dumbbell | score 154
push_incline       | 0314-ns0SIbU.gif         | dumbbell incline bench press | dumbbell | score 154
push_incline       | 0047-3TZduzM.gif         | barbell incline bench press | barbell | score 147
push_decline       | 1300-vsVoPHt.gif         | lever decline chest press | leverage machine | score 186
push_decline       | 1626-QyO6Uma.gif         | smith machine reverse decline close grip bench press | smith machine | score 173
push_decline       | 1309-wi2H9QX.gif         | smith wide grip decline bench press | smith machine | score 170
push_decline       | 0753-ETZfAbZ.gif         | smith decline bench press | smith machine | score 170
push_decline       | 0303-1qrWgZ2.gif         | dumbbell decline hammer press | dumbbell | score 154
push_decline       | 0301-DwhEmmE.gif         | dumbbell decline bench press | dumbbell | score 154
push_decline       | 0036-hl8DUh8.gif         | barbell decline wide-grip press | barbell | score 147
push_decline       | 0033-GrO65fd.gif         | barbell decline bench press | barbell | score 147
push_fly           | 0596-v3xmPAR.gif         | lever seated fly | leverage machine | score 186
push_fly           | 1270-j7XMAyn.gif         | cable upper chest crossovers | cable | score 170
push_fly           | 1269-UKWTJWR.gif         | cable standing up straight crossovers | cable | score 170
push_fly           | 0227-Pr9Rhf4.gif         | cable standing fly | cable | score 170
push_fly           | 0188-xLYSdtg.gif         | cable middle fly | cable | score 161
push_fly           | 0179-FVmZVhk.gif         | cable low fly | cable | score 161
push_fly           | 3234-P9ZRyLT.gif         | hyght dumbbell fly | dumbbell | score 154
push_fly           | 1278-HYe1ZqR.gif         | dumbbell incline fly on exercise ball | dumbbell | score 154
push_fly           | 1277-Lt3iWnf.gif         | dumbbell fly on exercise ball | dumbbell | score 154
push_fly           | 0331-1PLE8e9.gif         | dumbbell incline twisted flyes | dumbbell | score 154
push_fly           | 0319-ESOd5Pl.gif         | dumbbell incline fly | dumbbell | score 154
push_fly           | 0308-yz9nUhF.gif         | dumbbell fly | dumbbell | score 154
push_fly           | 0307-reFHapa.gif         | dumbbell decline twist fly | dumbbell | score 154
push_fly           | 0302-xXm4nYq.gif         | dumbbell decline fly | dumbbell | score 154
push_fly           | 0458-neonEDL.gif         | floor fly (with barbell) | barbell | score 100
